Fwd_rate	Rev_rate	Net_Rate	PEI	Reaction_String
0.034187491	6.49171E-10	3.42E-02	1.00E+00	R6 + R14 <=> R71
0.034187491	133.8516384	-1.34E+02	2.55E-04	R14 + R6 <=> R72
0.034187491	2.39627E-07	3.42E-02	1.00E+00	R7 + R13 <=> R73
0.034187491	5.02346E-08	3.42E-02	1.00E+00	R7 + R14 <=> R74
0.034187491	0.000355827	3.38E-02	9.90E-01	R7 + R14 <=> R75
0.034187491	7.91797E-13	3.42E-02	1.00E+00	R8 + R13 <=> R76
0.034187491	5.71458E-06	3.42E-02	1.00E+00	R13 + R8 <=> R77
0.034187491	4.27311E-14	3.42E-02	1.00E+00	R8 + R14 <=> R78
0.034187491	3.25644E-10	3.42E-02	1.00E+00	R8 + R14 <=> R79
0.034187491	0.000954704	3.32E-02	9.73E-01	R14 + R8 <=> R80
0.034187491	1.52692E-10	3.42E-02	1.00E+00	R9 + R13 <=> R81
0.034187491	1.64138E-05	3.42E-02	1.00E+00	R9 + R14 <=> R82
0.034187491	0.044288688	-1.01E-02	4.36E-01	R9 + R14 <=> R83
0.034187491	7.52609E-12	3.42E-02	1.00E+00	R10 + R13 <=> R84
0.034187491	1.28206E-13	3.42E-02	1.00E+00	R11 + R13 <=> R85
0.034187491	6.28435E-06	3.42E-02	1.00E+00	R13 + R13 <=> R86
0.034187491	8.64129E-05	3.41E-02	9.97E-01	R13 + R14 <=> R87
0.034187491	0.032489342	1.70E-03	5.13E-01	R13 + R14 <=> R88
0.034187491	3.33157E-07	3.42E-02	1.00E+00	R14 + R13 <=> R89
0.034187491	0.032141242	2.05E-03	5.15E-01	R14 + R14 <=> R90
0.034187491	96.11652656	-9.61E+01	3.56E-04	R14 + R14 <=> R91
0.002718114	5.82577E-08	2.72E-03	1.00E+00	R6 <=> R26
0.002718114	4.64866E-09	2.72E-03	1.00E+00	R8 <=> R41
0.002718114	4.686269812	-4.68E+00	5.80E-04	R13 <=> R2
0.002718114	974.2517147	-9.74E+02	2.79E-06	R14 <=> R3
0.002718114	0.002718114	0.00E+00	5.00E-01	R14 <=> R14
0.034187491	3.19039E-12	3.42E-02	1.00E+00	R0 + R15 <=> R92
0.034187491	5.43306E-13	3.42E-02	1.00E+00	R0 + R17 <=> R31
0.034187491	1.14116E-12	3.42E-02	1.00E+00	R0 + R18 <=> R32
0.034187491	1.82989E-17	3.42E-02	1.00E+00	R0 + R19 <=> R34
0.034187491	1.43256E-18	3.42E-02	1.00E+00	R0 + R20 <=> R35
0.034187491	2.26368E-11	3.42E-02	1.00E+00	R0 + R21 <=> R37
0.034187491	6.83212E-15	3.42E-02	1.00E+00	R0 + R22 <=> R38
0.034187491	4.8094E-11	3.42E-02	1.00E+00	R0 + R23 <=> R39
0.034187491	6.57839E-11	3.42E-02	1.00E+00	R0 + R24 <=> R40
0.034187491	8.38548E-13	3.42E-02	1.00E+00	R0 + R26 <=> R28
0.034187491	5.59511E-12	3.42E-02	1.00E+00	R0 + R26 <=> R29
0.034187491	2.37586E-13	3.42E-02	1.00E+00	R0 + R27 <=> R42
0.034187491	9.76137E-17	3.42E-02	1.00E+00	R0 + R28 <=> R93
0.034187491	1.40054E-13	3.42E-02	1.00E+00	R0 + R28 <=> R94
0.034187491	5.0046E-11	3.42E-02	1.00E+00	R0 + R30 <=> R45
0.034187491	2.7507E-12	3.42E-02	1.00E+00	R0 + R41 <=> R43
0.034187491	3.57449E-14	3.42E-02	1.00E+00	R0 + R41 <=> R44
0.034187491	4.50282E-16	3.42E-02	1.00E+00	R0 + R43 <=> R95
0.034187491	2.07521E-19	3.42E-02	1.00E+00	R0 + R43 <=> R96
0.034187491	2.32265E-10	3.42E-02	1.00E+00	R0 + R53 <=> R55
0.034187491	3.04998E-10	3.42E-02	1.00E+00	R0 + R53 <=> R56
0.034187491	7.91862E-16	3.42E-02	1.00E+00	R0 + R55 <=> R97
0.034187491	1.65182E-15	3.42E-02	1.00E+00	R0 + R55 <=> R98
0.034187491	2.26036E-17	3.42E-02	1.00E+00	R0 + R60 <=> R61
0.034187491	1.04815E-19	3.42E-02	1.00E+00	R0 + R60 <=> R62
0.034187491	1.91542E-17	3.42E-02	1.00E+00	R0 + R61 <=> R99
0.034187491	4.68605E-11	3.42E-02	1.00E+00	R0 + R61 <=> R100
0.034187491	1.3241E-08	3.42E-02	1.00E+00	R0 + R64 <=> R65
0.034187491	3.38482E-12	3.42E-02	1.00E+00	R0 + R64 <=> R66
0.034187491	4.59657E-14	3.42E-02	1.00E+00	R0 + R65 <=> R101
0.034187491	5.0654E-20	3.42E-02	1.00E+00	R0 + R65 <=> R102
0.034187491	3.10576E-11	3.42E-02	1.00E+00	R0 + R68 <=> R70
0.034187491	1.54081E-11	3.42E-02	1.00E+00	R0 + R68 <=> R71
0.034187491	3.61762E-15	3.42E-02	1.00E+00	R0 + R70 <=> R103
0.034187491	5.34295E-13	3.42E-02	1.00E+00	R0 + R70 <=> R104
0.034187491	9.12524E-16	3.42E-02	1.00E+00	R0 + R73 <=> R74
0.034187491	6.46368E-12	3.42E-02	1.00E+00	R0 + R73 <=> R75
0.034187491	2.34913E-16	3.42E-02	1.00E+00	R0 + R76 <=> R78
0.034187491	1.79022E-12	3.42E-02	1.00E+00	R0 + R76 <=> R79
0.034187491	4.6792E-10	3.42E-02	1.00E+00	R0 + R81 <=> R82
0.034187491	1.26257E-06	3.42E-02	1.00E+00	R0 + R81 <=> R83
0.034187491	5.98543E-14	3.42E-02	1.00E+00	R0 + R86 <=> R87
0.034187491	2.25039E-11	3.42E-02	1.00E+00	R0 + R86 <=> R88
0.034187491	3.34838E-16	3.42E-02	1.00E+00	R0 + R87 <=> R105
0.034187491	1.84925E-15	3.42E-02	1.00E+00	R0 + R87 <=> R106
0.034187491	4.19944E-10	3.42E-02	1.00E+00	R0 + R89 <=> R90
0.034187491	1.25582E-06	3.42E-02	1.00E+00	R0 + R89 <=> R91
0.034187491	1.6973E-15	3.42E-02	1.00E+00	R0 + R90 <=> R107
0.034187491	2.91024E-15	3.42E-02	1.00E+00	R0 + R90 <=> R108
0.034187491	5.08723E-07	3.42E-02	1.00E+00	R1 + R15 <=> R94
0.034187491	6.505384553	-6.47E+00	5.23E-03	R15 + R1 <=> R109
0.034187491	2.6181E-06	3.42E-02	1.00E+00	R16 + R1 <=> R110
0.034187491	1.6755E-05	3.42E-02	1.00E+00	R1 + R17 <=> R46
0.034187491	1.68482E-08	3.42E-02	1.00E+00	R17 + R1 <=> R111
0.034187491	1.74424E-05	3.42E-02	9.99E-01	R1 + R18 <=> R47
0.034187491	1.29411E-06	3.42E-02	1.00E+00	R18 + R1 <=> R112
0.034187491	6.51255E-12	3.42E-02	1.00E+00	R1 + R19 <=> R48
0.034187491	2.21903E-11	3.42E-02	1.00E+00	R19 + R1 <=> R113
0.034187491	1.74122E-16	3.42E-02	1.00E+00	R1 + R20 <=> R49
0.034187491	1.84582E-15	3.42E-02	1.00E+00	R20 + R1 <=> R114
0.034187491	0.000121999	3.41E-02	9.96E-01	R1 + R21 <=> R51
0.034187491	0.014279299	1.99E-02	7.05E-01	R21 + R1 <=> R115
0.034187491	1.42186E-15	3.42E-02	1.00E+00	R1 + R22 <=> R52
0.034187491	3.89249E-11	3.42E-02	1.00E+00	R22 + R1 <=> R116
0.034187491	3.12398E-08	3.42E-02	1.00E+00	R1 + R26 <=> R117
0.034187491	1.42067E-06	3.42E-02	1.00E+00	R1 + R26 <=> R118
0.034187491	0.000136706	3.41E-02	9.96E-01	R26 + R1 <=> R119
0.034187491	9.39232E-06	3.42E-02	1.00E+00	R1 + R27 <=> R54
0.034187491	0.000164718	3.40E-02	9.95E-01	R27 + R1 <=> R120
0.034187491	1.53921E-10	3.42E-02	1.00E+00	R1 + R28 <=> R121
0.034187491	5.04195E-07	3.42E-02	1.00E+00	R1 + R28 <=> R122
0.034187491	0.006680212	2.75E-02	8.37E-01	R28 + R1 <=> R123
0.034187491	0.000248873	3.39E-02	9.93E-01	R29 + R1 <=> R124
0.034187491	2.396279393	-2.36E+00	1.41E-02	R1 + R30 <=> R57
0.034187491	5.25691E-06	3.42E-02	1.00E+00	R30 + R1 <=> R125
0.034187491	2.32368E-06	3.42E-02	1.00E+00	R31 + R1 <=> R126
0.034187491	1.25056E-11	3.42E-02	1.00E+00	R32 + R1 <=> R127
0.034187491	3.69172E-08	3.42E-02	1.00E+00	R33 + R1 <=> R128
0.034187491	1.07408E-08	3.42E-02	1.00E+00	R34 + R1 <=> R129
0.034187491	1.69263E-08	3.42E-02	1.00E+00	R1 + R41 <=> R130
0.034187491	2.64133E-09	3.42E-02	1.00E+00	R1 + R41 <=> R131
0.034187491	0.199732914	-1.66E-01	1.46E-01	R41 + R1 <=> R132
0.034187491	2.60736E-05	3.42E-02	9.99E-01	R42 + R1 <=> R133
0.034187491	2.59528E-08	3.42E-02	1.00E+00	R1 + R43 <=> R134
0.034187491	8.12713E-07	3.42E-02	1.00E+00	R1 + R43 <=> R135
0.034187491	8.19384E-06	3.42E-02	1.00E+00	R43 + R1 <=> R136
0.034187491	8931.734806	-8.93E+03	3.83E-06	R44 + R1 <=> R137
0.034187491	0.598744809	-5.65E-01	5.40E-02	R45 + R1 <=> R138
0.034187491	1.07192E-08	3.42E-02	1.00E+00	R46 + R1 <=> R139
0.034187491	6.28313E-09	3.42E-02	1.00E+00	R1 + R53 <=> R140
0.034187491	0.01689509	1.73E-02	6.69E-01	R1 + R53 <=> R141
0.034187491	0.198616901	-1.64E-01	1.47E-01	R53 + R1 <=> R142
0.034187491	6.86981E-08	3.42E-02	1.00E+00	R54 + R1 <=> R143
0.034187491	1.79614E-10	3.42E-02	1.00E+00	R1 + R55 <=> R144
0.034187491	1.00781E-09	3.42E-02	1.00E+00	R1 + R55 <=> R145
0.034187491	7.13342E-08	3.42E-02	1.00E+00	R55 + R1 <=> R146
0.034187491	4.75657E-07	3.42E-02	1.00E+00	R56 + R1 <=> R147
0.034187491	3.84834E-11	3.42E-02	1.00E+00	R57 + R1 <=> R148
0.034187491	1.88661E-12	3.42E-02	1.00E+00	R1 + R60 <=> R149
0.034187491	9.71883E-07	3.42E-02	1.00E+00	R1 + R60 <=> R150
0.034187491	9.1195E-10	3.42E-02	1.00E+00	R60 + R1 <=> R151
0.034187491	1.61342E-11	3.42E-02	1.00E+00	R1 + R61 <=> R152
0.034187491	4.27838E-07	3.42E-02	1.00E+00	R1 + R61 <=> R153
0.034187491	0.000283969	3.39E-02	9.92E-01	R61 + R1 <=> R154
0.034187491	37682.1123	-3.77E+04	9.07E-07	R62 + R1 <=> R155
0.034187491	3.97946E-11	3.42E-02	1.00E+00	R1 + R64 <=> R156
0.034187491	8.87517E-06	3.42E-02	1.00E+00	R1 + R64 <=> R157
0.034187491	0.691443413	-6.57E-01	4.71E-02	R64 + R1 <=> R158
0.034187491	8.92652E-09	3.42E-02	1.00E+00	R1 + R68 <=> R159
0.034187491	20.0467358	-2.00E+01	1.70E-03	R1 + R68 <=> R160
0.034187491	50.56983462	-5.05E+01	6.76E-04	R68 + R1 <=> R161
0.034187491	1.08466E-07	3.42E-02	1.00E+00	R69 + R1 <=> R162
0.034187491	4.67519E-06	3.42E-02	1.00E+00	R1 + R86 <=> R163
0.034187491	6.49018E-09	3.42E-02	1.00E+00	R1 + R86 <=> R164
0.034187491	0.000110571	3.41E-02	9.97E-01	R86 + R1 <=> R165
0.034187491	1.43779E-09	3.42E-02	1.00E+00	R1 + R87 <=> R166
0.034187491	3.40491E-06	3.42E-02	1.00E+00	R1 + R87 <=> R167
0.034187491	0.172909857	-1.39E-01	1.65E-01	R87 + R1 <=> R168
0.034187491	51.4178165	-5.14E+01	6.64E-04	R88 + R1 <=> R169
0.034187491	2.48418E-09	3.42E-02	1.00E+00	R1 + R89 <=> R170
0.034187491	0.000317368	3.39E-02	9.91E-01	R1 + R89 <=> R171
0.034187491	0.00013553	3.41E-02	9.96E-01	R89 + R1 <=> R172
0.034187491	1.61813E-12	3.42E-02	1.00E+00	R1 + R90 <=> R173
0.034187491	2.71784E-09	3.42E-02	1.00E+00	R1 + R90 <=> R174
0.034187491	3.77095E-07	3.42E-02	1.00E+00	R90 + R1 <=> R175
0.034187491	0.001521176	3.27E-02	9.57E-01	R91 + R1 <=> R176
0.034187491	1.20056E-12	3.42E-02	1.00E+00	R2 + R15 <=> R96
0.034187491	0.110115331	-7.59E-02	2.37E-01	R15 + R2 <=> R177
0.034187491	1.547491861	-1.51E+00	2.16E-02	R16 + R2 <=> R178
0.034187491	7.27558E-08	3.42E-02	1.00E+00	R2 + R17 <=> R58
0.034187491	6.2675E-08	3.42E-02	1.00E+00	R17 + R2 <=> R179
0.034187491	7.03428E-07	3.42E-02	1.00E+00	R2 + R18 <=> R63
0.034187491	2.10698E-05	3.42E-02	9.99E-01	R18 + R2 <=> R180
0.034187491	1.21184E-08	3.42E-02	1.00E+00	R2 + R19 <=> R67
0.034187491	7.52589E-10	3.42E-02	1.00E+00	R19 + R2 <=> R181
0.034187491	8.21832E-09	3.42E-02	1.00E+00	R2 + R26 <=> R130
0.034187491	1.28246E-09	3.42E-02	1.00E+00	R2 + R26 <=> R131
0.034187491	11.14217733	-1.11E+01	3.06E-03	R26 + R2 <=> R182
0.034187491	0.001147745	3.30E-02	9.68E-01	R2 + R27 <=> R69
