Fwd_rate	Rev_rate	Net_Rate	PEI	Reaction_String
4.27647E-07	6.8892E-08	3.59E-07	8.61E-01	R6 + R13 <=> R68
4.27647E-07	1.847437102	-1.85E+00	2.31E-07	R13 + R6 <=> R69
4.27647E-07	4.93803E-09	4.23E-07	9.89E-01	R6 + R14 <=> R70
4.27647E-07	1.0411E-05	-9.98E-06	3.95E-02	R6 + R14 <=> R71
4.27647E-07	0.03174606	-3.17E-02	1.35E-05	R14 + R6 <=> R72
4.27647E-07	2.69361E-05	-2.65E-05	1.56E-02	R7 + R13 <=> R73
4.27647E-07	0.000825382	-8.25E-04	5.18E-04	R7 + R14 <=> R74
4.27647E-07	7.76963E-06	-7.34E-06	5.22E-02	R7 + R14 <=> R75
4.27647E-07	1.49238E-07	2.78E-07	7.41E-01	R8 + R13 <=> R76
4.27647E-07	0.006947973	-6.95E-03	6.15E-05	R13 + R8 <=> R77
4.27647E-07	1.08113E-05	-1.04E-05	3.81E-02	R8 + R14 <=> R78
4.27647E-07	0.00072561	-7.25E-04	5.89E-04	R8 + R14 <=> R79
4.27647E-07	0.05398723	-5.40E-02	7.92E-06	R14 + R8 <=> R80
4.27647E-07	0.043729019	-4.37E-02	9.78E-06	R9 + R13 <=> R81
4.27647E-07	0.000154626	-1.54E-04	2.76E-03	R9 + R14 <=> R82
4.27647E-07	0.001903453	-1.90E-03	2.25E-04	R9 + R14 <=> R83
4.27647E-07	0.013390978	-1.34E-02	3.19E-05	R10 + R13 <=> R84
4.27647E-07	0.00354903	-3.55E-03	1.20E-04	R11 + R13 <=> R85
4.27647E-07	0.489178085	-4.89E-01	8.74E-07	R13 + R13 <=> R86
4.27647E-07	0.150213234	-1.50E-01	2.85E-06	R13 + R14 <=> R87
4.27647E-07	0.021332352	-2.13E-02	2.00E-05	R13 + R14 <=> R88
4.27647E-07	0.005156676	-5.16E-03	8.29E-05	R14 + R13 <=> R89
4.27647E-07	0.132420515	-1.32E-01	3.23E-06	R14 + R14 <=> R90
4.27647E-07	0.185451139	-1.85E-01	2.31E-06	R14 + R14 <=> R91
0.000653947	7.87261E-08	6.54E-04	1.00E+00	R6 <=> R26
0.000653947	3.50881E-07	6.54E-04	9.99E-01	R8 <=> R41
0.000653947	0.950644909	-9.50E-01	6.87E-04	R13 <=> R2
0.000653947	0.116950554	-1.16E-01	5.56E-03	R14 <=> R3
0.000653947	0.000653947	0.00E+00	5.00E-01	R14 <=> R14
4.27647E-07	5.48927E-09	4.22E-07	9.87E-01	R0 + R15 <=> R92
4.27647E-07	6.4425E-09	4.21E-07	9.85E-01	R0 + R17 <=> R31
4.27647E-07	6.83043E-06	-6.40E-06	5.89E-02	R0 + R18 <=> R32
4.27647E-07	3.30694E-11	4.28E-07	1.00E+00	R0 + R19 <=> R34
4.27647E-07	1.62124E-07	2.66E-07	7.25E-01	R0 + R20 <=> R35
4.27647E-07	1.74214E-08	4.10E-07	9.61E-01	R0 + R21 <=> R37
4.27647E-07	5.1399E-06	-4.71E-06	7.68E-02	R0 + R22 <=> R38
4.27647E-07	2.32647E-10	4.27E-07	9.99E-01	R0 + R23 <=> R39
4.27647E-07	4.35991E-07	-8.34E-09	4.95E-01	R0 + R24 <=> R40
4.27647E-07	1.08258E-08	4.17E-07	9.75E-01	R0 + R26 <=> R28
4.27647E-07	9.65083E-10	4.27E-07	9.98E-01	R0 + R26 <=> R29
4.27647E-07	2.32367E-08	4.04E-07	9.48E-01	R0 + R27 <=> R42
4.27647E-07	7.16269E-10	4.27E-07	9.98E-01	R0 + R28 <=> R93
4.27647E-07	2.84431E-06	-2.42E-06	1.31E-01	R0 + R28 <=> R94
4.27647E-07	8.81483E-07	-4.54E-07	3.27E-01	R0 + R30 <=> R45
